sample	group	fq1	fq2
A11Blo	Blo	A11Blo_L000_R1_001.fastq.gz	A11Blo_L000_R2_001.fastq.gz
A13Bhi	Bhi	A13Bhi_L000_R1_001.fastq.gz	A13Bhi_L000_R2_001.fastq.gz
A15Blo	Blo	A15Blo_L000_R1_001.fastq.gz	A15Blo_L000_R2_001.fastq.gz
A17Bhi	Bhi	A17Bhi_L000_R1_001.fastq.gz	A17Bhi_L000_R2_001.fastq.gz
A19Blo	Blo	A19Blo_L000_R1_001.fastq.gz	A19Blo_L000_R2_001.fastq.gz
A1Bhi	Bhi	A1Bhi_L000_R1_001.fastq.gz	A1Bhi_L000_R2_001.fastq.gz
A21Bhi	Bhi	A21Bhi_L000_R1_001.fastq.gz	A21Bhi_L000_R2_001.fastq.gz
A23Blo	Blo	A23Blo_L000_R1_001.fastq.gz	A23Blo_L000_R2_001.fastq.gz
A3Blo	Blo	A3Blo_L000_R1_001.fastq.gz	A3Blo_L000_R2_001.fastq.gz
A5Bhi	Bhi	A5Bhi_L000_R1_001.fastq.gz	A5Bhi_L000_R2_001.fastq.gz
A7Blo	Blo	A7Blo_L000_R1_001.fastq.gz	A7Blo_L000_R2_001.fastq.gz
A9Bhi	Bhi	A9Bhi_L000_R1_001.fastq.gz	A9Bhi_L000_R2_001.fastq.gz
C11fBhi	fBhi	C11fBhi_L000_R1_001.fastq.gz	C11fBhi_L000_R2_001.fastq.gz
C13fBlo	fBlo	C13fBlo_L000_R1_001.fastq.gz	C13fBlo_L000_R2_001.fastq.gz
C15fBhi	fBhi	C15fBhi_L000_R1_001.fastq.gz	C15fBhi_L000_R2_001.fastq.gz
C17fBlo	fBlo	C17fBlo_L000_R1_001.fastq.gz	C17fBlo_L000_R2_001.fastq.gz
C19Blo	Blo	C19Blo_L000_R1_001.fastq.gz	C19Blo_L000_R2_001.fastq.gz
C1fBhi	fBhi	C1fBhi_L000_R1_001.fastq.gz	C1fBhi_L000_R2_001.fastq.gz
C21fBhi	fBhi	C21fBhi_L000_R1_001.fastq.gz	C21fBhi_L000_R2_001.fastq.gz
C23fBlo	fBlo	C23fBlo_L000_R1_001.fastq.gz	C23fBlo_L000_R2_001.fastq.gz
C3fBlo	fBlo	C3fBlo_L000_R1_001.fastq.gz	C3fBlo_L000_R2_001.fastq.gz
C5fBhi	fBhi	C5fBhi_L000_R1_001.fastq.gz	C5fBhi_L000_R2_001.fastq.gz
C7Blo	Blo	C7Blo_L000_R1_001.fastq.gz	C7Blo_L000_R2_001.fastq.gz
C9fBlo	fBlo	C9fBlo_L000_R1_001.fastq.gz	C9fBlo_L000_R2_001.fastq.gz
E11Blo	Blo	E11Blo_L000_R1_001.fastq.gz	E11Blo_L000_R2_001.fastq.gz
E13Bhi	Bhi	E13Bhi_L000_R1_001.fastq.gz	E13Bhi_L000_R2_001.fastq.gz
E15Blo	Blo	E15Blo_L000_R1_001.fastq.gz	E15Blo_L000_R2_001.fastq.gz
E17Bhi	Bhi	E17Bhi_L000_R1_001.fastq.gz	E17Bhi_L000_R2_001.fastq.gz
E19Blo	Blo	E19Blo_L000_R1_001.fastq.gz	E19Blo_L000_R2_001.fastq.gz
E1Bhi	Bhi	E1Bhi_L000_R1_001.fastq.gz	E1Bhi_L000_R2_001.fastq.gz
E21NegCt	NegCt	E21NegCt_L000_R1_001.fastq.gz	E21NegCt_L000_R2_001.fastq.gz
E23Blo	Blo	E23Blo_L000_R1_001.fastq.gz	E23Blo_L000_R2_001.fastq.gz
E3Blo	Blo	E3Blo_L000_R1_001.fastq.gz	E3Blo_L000_R2_001.fastq.gz
E5Bhi	Bhi	E5Bhi_L000_R1_001.fastq.gz	E5Bhi_L000_R2_001.fastq.gz
E7Blo	Blo	E7Blo_L000_R1_001.fastq.gz	E7Blo_L000_R2_001.fastq.gz
E9Bhi	Bhi	E9Bhi_L000_R1_001.fastq.gz	E9Bhi_L000_R2_001.fastq.gz
G11PosCt	PosCt	G11PosCt_L000_R1_001.fastq.gz	G11PosCt_L000_R2_001.fastq.gz
G13Bhi	Bhi	G13Bhi_L000_R1_001.fastq.gz	G13Bhi_L000_R2_001.fastq.gz
G15Blo	Blo	G15Blo_L000_R1_001.fastq.gz	G15Blo_L000_R2_001.fastq.gz
G17Bhi	Bhi	G17Bhi_L000_R1_001.fastq.gz	G17Bhi_L000_R2_001.fastq.gz
G19Blo	Blo	G19Blo_L000_R1_001.fastq.gz	G19Blo_L000_R2_001.fastq.gz
G1Bhi	Bhi	G1Bhi_L000_R1_001.fastq.gz	G1Bhi_L000_R2_001.fastq.gz
G21Bhi	Bhi	G21Bhi_L000_R1_001.fastq.gz	G21Bhi_L000_R2_001.fastq.gz
G23Blo	Blo	G23Blo_L000_R1_001.fastq.gz	G23Blo_L000_R2_001.fastq.gz
G3Blo	Blo	G3Blo_L000_R1_001.fastq.gz	G3Blo_L000_R2_001.fastq.gz
G5Bhi	Bhi	G5Bhi_L000_R1_001.fastq.gz	G5Bhi_L000_R2_001.fastq.gz
G7Blo	Blo	G7Blo_L000_R1_001.fastq.gz	G7Blo_L000_R2_001.fastq.gz
G9Bhi	Bhi	G9Bhi_L000_R1_001.fastq.gz	G9Bhi_L000_R2_001.fastq.gz
I11Bhi	Bhi	I11Bhi_L000_R1_001.fastq.gz	I11Bhi_L000_R2_001.fastq.gz
I13Blo	Blo	I13Blo_L000_R1_001.fastq.gz	I13Blo_L000_R2_001.fastq.gz
I15Bhi	Bhi	I15Bhi_L000_R1_001.fastq.gz	I15Bhi_L000_R2_001.fastq.gz
I17Blo	Blo	I17Blo_L000_R1_001.fastq.gz	I17Blo_L000_R2_001.fastq.gz
I19Bhi	Bhi	I19Bhi_L000_R1_001.fastq.gz	I19Bhi_L000_R2_001.fastq.gz
I1Blo	Blo	I1Blo_L000_R1_001.fastq.gz	I1Blo_L000_R2_001.fastq.gz
I21Blo	Blo	I21Blo_L000_R1_001.fastq.gz	I21Blo_L000_R2_001.fastq.gz
I23Bhi	Bhi	I23Bhi_L000_R1_001.fastq.gz	I23Bhi_L000_R2_001.fastq.gz
I3Bhi	Bhi	I3Bhi_L000_R1_001.fastq.gz	I3Bhi_L000_R2_001.fastq.gz
I5Blo	Blo	I5Blo_L000_R1_001.fastq.gz	I5Blo_L000_R2_001.fastq.gz
I7Bhi	Bhi	I7Bhi_L000_R1_001.fastq.gz	I7Bhi_L000_R2_001.fastq.gz
I9Blo	Blo	I9Blo_L000_R1_001.fastq.gz	I9Blo_L000_R2_001.fastq.gz
K11fBlo	fBlo	K11fBlo_L000_R1_001.fastq.gz	K11fBlo_L000_R2_001.fastq.gz
K13fBhi	fBhi	K13fBhi_L000_R1_001.fastq.gz	K13fBhi_L000_R2_001.fastq.gz
K15Bhi	Bhi	K15Bhi_L000_R1_001.fastq.gz	K15Bhi_L000_R2_001.fastq.gz
K17fBlo	fBlo	K17fBlo_L000_R1_001.fastq.gz	K17fBlo_L000_R2_001.fastq.gz
K19fBhi	fBhi	K19fBhi_L000_R1_001.fastq.gz	K19fBhi_L000_R2_001.fastq.gz
K1fBlo	fBlo	K1fBlo_L000_R1_001.fastq.gz	K1fBlo_L000_R2_001.fastq.gz
K21fBlo	fBlo	K21fBlo_L000_R1_001.fastq.gz	K21fBlo_L000_R2_001.fastq.gz
K23fBhi	fBhi	K23fBhi_L000_R1_001.fastq.gz	K23fBhi_L000_R2_001.fastq.gz
K3Bhi	Bhi	K3Bhi_L000_R1_001.fastq.gz	K3Bhi_L000_R2_001.fastq.gz
K5fBhi	fBhi	K5fBhi_L000_R1_001.fastq.gz	K5fBhi_L000_R2_001.fastq.gz
K7fBlo	fBlo	K7fBlo_L000_R1_001.fastq.gz	K7fBlo_L000_R2_001.fastq.gz
K9fBhi	fBhi	K9fBhi_L000_R1_001.fastq.gz	K9fBhi_L000_R2_001.fastq.gz
M11Bhi	Bhi	M11Bhi_L000_R1_001.fastq.gz	M11Bhi_L000_R2_001.fastq.gz
M13Blo	Blo	M13Blo_L000_R1_001.fastq.gz	M13Blo_L000_R2_001.fastq.gz
M15Bhi	Bhi	M15Bhi_L000_R1_001.fastq.gz	M15Bhi_L000_R2_001.fastq.gz
M17Blo	Blo	M17Blo_L000_R1_001.fastq.gz	M17Blo_L000_R2_001.fastq.gz
M19Bhi	Bhi	M19Bhi_L000_R1_001.fastq.gz	M19Bhi_L000_R2_001.fastq.gz
M1Blo	Blo	M1Blo_L000_R1_001.fastq.gz	M1Blo_L000_R2_001.fastq.gz
M21Blo	Blo	M21Blo_L000_R1_001.fastq.gz	M21Blo_L000_R2_001.fastq.gz
M23Bhi	Bhi	M23Bhi_L000_R1_001.fastq.gz	M23Bhi_L000_R2_001.fastq.gz
M3Bhi	Bhi	M3Bhi_L000_R1_001.fastq.gz	M3Bhi_L000_R2_001.fastq.gz
M5NegCt	NegCt	M5NegCt_L000_R1_001.fastq.gz	M5NegCt_L000_R2_001.fastq.gz
M7Bhi	Bhi	M7Bhi_L000_R1_001.fastq.gz	M7Bhi_L000_R2_001.fastq.gz
M9Blo	Blo	M9Blo_L000_R1_001.fastq.gz	M9Blo_L000_R2_001.fastq.gz
O11Bhi	Bhi	O11Bhi_L000_R1_001.fastq.gz	O11Bhi_L000_R2_001.fastq.gz
O13Blo	Blo	O13Blo_L000_R1_001.fastq.gz	O13Blo_L000_R2_001.fastq.gz
O15Bhi	Bhi	O15Bhi_L000_R1_001.fastq.gz	O15Bhi_L000_R2_001.fastq.gz
O17PosCt	PosCt	O17PosCt_L000_R1_001.fastq.gz	O17PosCt_L000_R2_001.fastq.gz
O19Bhi	Bhi	O19Bhi_L000_R1_001.fastq.gz	O19Bhi_L000_R2_001.fastq.gz
O1Blo	Blo	O1Blo_L000_R1_001.fastq.gz	O1Blo_L000_R2_001.fastq.gz
O21Blo	Blo	O21Blo_L000_R1_001.fastq.gz	O21Blo_L000_R2_001.fastq.gz
O23Bhi	Bhi	O23Bhi_L000_R1_001.fastq.gz	O23Bhi_L000_R2_001.fastq.gz
O3Bhi	Bhi	O3Bhi_L000_R1_001.fastq.gz	O3Bhi_L000_R2_001.fastq.gz
O5Blo	Blo	O5Blo_L000_R1_001.fastq.gz	O5Blo_L000_R2_001.fastq.gz
O7Bhi	Bhi	O7Bhi_L000_R1_001.fastq.gz	O7Bhi_L000_R2_001.fastq.gz
O9Blo	Blo	O9Blo_L000_R1_001.fastq.gz	O9Blo_L000_R2_001.fastq.gz
